"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2025","115,699.2","115,649.0","116,138.4","115,424.9","20.42K","0.04%"
"09/19/2025","115,649.0","117,089.2","117,470.7","115,133.5","36.98K","-1.23%"
"09/18/2025","117,086.0","116,426.5","117,910.4","116,144.9","46.50K","0.57%"
"09/17/2025","116,425.9","116,795.9","117,284.2","114,782.5","56.85K","-0.32%"
"09/16/2025","116,795.9","115,362.1","116,970.0","114,801.0","43.05K","1.24%"
"09/15/2025","115,362.1","115,314.2","116,723.2","114,412.2","48.68K","0.04%"
"09/14/2025","115,314.6","115,924.8","116,165.6","115,158.3","25.84K","-0.53%"
"09/13/2025","115,924.9","116,042.6","116,292.4","115,207.3","30.79K","-0.10%"
"09/12/2025","116,042.8","115,490.5","116,684.3","114,766.1","56.48K","0.48%"
"09/11/2025","115,490.2","113,963.5","115,490.6","113,446.6","47.81K","1.34%"
"09/10/2025","113,963.5","111,517.1","114,300.7","110,938.8","62.24K","2.19%"
"09/09/2025","111,516.5","112,066.3","113,259.9","110,781.1","53.76K","-0.49%"
"09/08/2025","112,068.4","111,140.9","112,896.9","110,630.5","41.95K","0.83%"
"09/07/2025","111,150.1","110,194.4","111,594.1","110,185.6","23.81K","0.87%"
"09/06/2025","110,194.4","110,660.1","111,313.4","110,010.5","21.14K","-0.41%"